id,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE
1,4-Dec-92,28,0,6,"$91,360 ",No,F,High School,Clerical,41,"$36,275 ",9,Minivan,"$20,368 ",0,0,9
2,23-Apr-02,18,0,8,"$47,522 ",Yes,M,Bachelors,Home Maker,23,"$23,784 ",3,Minivan,"$4,756 ",2,4,1
3,13-Nov-65,55,2,7,"$89,272 ",Yes,F,Masters,Student,17,"$24,047 ",15,Panel Truck,"$3,280 ",3,6,8
4,3-Apr-91,29,0,12,"$109,851 ",Yes,M,Masters,Student,30,"$14,984 ",7,Minivan,"$15,191 ",0,10,10
5,21-Feb-67,53,4,13,"$30,042 ",No,M,Masters,Home Maker,43,"$24,366 ",7,Panel Truck,"$3,305 ",0,10,7
6,11-Jul-99,21,2,7,"$70,485 ",Yes,F,Bachelors,Manager,30,"$38,846 ",7,Pickup,"$19,042 ",3,3,2
7,7-Dec-85,35,2,0,"$55,436 ",Yes,F,PhD,Student,40,"$36,578 ",12,Panel Truck,"$3,130 ",0,8,8
8,13-Jun-69,51,1,3,"$54,852 ",Yes,F,Bachelors,Student,40,"$27,679 ",11,Van,"$17,921 ",0,10,12
9,29-Apr-88,32,3,4,"$130,607 ",No,M,PhD,Blue Collar,18,"$29,494 ",14,Minivan,"$5,217 ",0,7,9
10,5-Jan-91,30,3,0,"$129,314 ",No,M,High School,Manager,14,"$23,972 ",10,Minivan,"$9,729 ",0,2,9
11,25-Dec-94,26,3,9,"$69,153 ",No,M,Masters,Manager,44,"$21,576 ",6,Panel Truck,"$20,236 ",0,6,0
12,25-Dec-68,52,0,13,"$81,858 ",Yes,M,High School,Lawyer,20,"$37,768 ",2,SUV,"$1,589 ",2,6,9
13,27-Apr-87,33,3,9,"$88,356 ",Yes,F,Masters,Manager,30,"$34,851 ",6,SUV,"$1,635 ",2,7,7
14,15-Dec-78,42,2,12,"$148,763 ",Yes,F,PhD,Blue Collar,25,"$33,210 ",14,Minivan,"$8,155 ",2,0,3
15,14-Apr-03,17,0,1,"$116,414 ",No,F,Masters,Student,35,"$29,397 ",4,Sports Car,"$22,533 ",1,5,4
16,6-May-91,29,2,4,"$147,714 ",No,F,Bachelors,Lawyer,11,"$36,966 ",14,Sports Car,"$11,483 ",0,3,15
17,25-Jul-82,38,1,12,"$128,117 ",Yes,M,Bachelors,Professional,37,"$37,988 ",10,Van,"$23,771 ",0,5,9
18,25-Jan-92,29,3,0,"$136,781 ",Yes,F,Masters,Professional,38,"$16,333 ",7,SUV,"$7,835 ",2,4,5
19,28-Jan-76,45,3,8,"$123,122 ",No,M,High School,Clerical,38,"$16,371 ",15,Pickup,$649 ,3,6,4
20,15-Sep-76,44,2,5,"$85,145 ",Yes,F,Masters,Manager,42,"$15,832 ",1,Panel Truck,$667 ,0,3,12
